model,aggregate_model,cell,n,conditions,avg_response_chars,mapping_method,source_models,freeflow_dir
gpt-5-1-codex,gpt-5-1-codex,gpt-5-1-codex-direct-r3,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,10000.1,cell_prefix,gpt-5.1-codex,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-1-codex-direct-r3
gpt-5-1-codex,gpt-5-1-codex,gpt-5-1-codex-or-pin-openai,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,8080.2,cell_prefix,openai/gpt-5.1-codex,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-1-codex-or-pin-openai
gpt-5-1,gpt-5-1,gpt-5-1-direct,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,9239.0,cell_prefix,gpt-5.1,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-1-direct
gpt-5-1,gpt-5-1,gpt-5-1-direct-r2,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,9409.6,cell_prefix,gpt-5.1,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-1-direct-r2
gpt-5-1,gpt-5-1,gpt-5-1-direct-r3,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,9581.2,cell_prefix,gpt-5.1,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-1-direct-r3
gpt-5-1,gpt-5-1,gpt-5-1-or-pin-openai,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,9341.7,cell_prefix,openai/gpt-5.1,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-1-or-pin-openai
gpt-5-2-codex,gpt-5-2-codex,gpt-5-2-codex-direct,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,6544.9,cell_prefix,gpt-5.2-codex,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-2-codex-direct
gpt-5-2-codex,gpt-5-2-codex,gpt-5-2-codex-direct-r2,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,6542.0,cell_prefix,gpt-5.2-codex,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-2-codex-direct-r2
gpt-5-2-codex,gpt-5-2-codex,gpt-5-2-codex-direct-r3,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,6051.6,cell_prefix,gpt-5.2-codex,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-2-codex-direct-r3
gpt-5-2-codex,gpt-5-2-codex,gpt-5-2-codex-or-pin-openai,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,6517.0,cell_prefix,openai/gpt-5.2-codex,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-2-codex-or-pin-openai
gpt-5-2,gpt-5-2,gpt-5-2-direct,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,8075.4,cell_prefix,gpt-5.2,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-2-direct
gpt-5-2,gpt-5-2,gpt-5-2-direct-r2,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,8388.5,cell_prefix,gpt-5.2,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-2-direct-r2
gpt-5-2,gpt-5-2,gpt-5-2-direct-r3,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,8019.0,cell_prefix,gpt-5.2,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-2-direct-r3
gpt-5-2,gpt-5-2,gpt-5-2-or-pin-openai,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,8684.3,cell_prefix,openai/gpt-5.2,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-2-or-pin-openai
gpt-5-3-codex,gpt-5-3-codex,gpt-5-3-codex-direct,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,7774.2,cell_prefix,gpt-5.3-codex,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-3-codex-direct
gpt-5-3-codex,gpt-5-3-codex,gpt-5-3-codex-direct-r2,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,7592.6,cell_prefix,gpt-5.3-codex,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-3-codex-direct-r2
gpt-5-3-codex,gpt-5-3-codex,gpt-5-3-codex-direct-r3,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,7149.8,cell_prefix,gpt-5.3-codex,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-3-codex-direct-r3
gpt-5-3-codex,gpt-5-3-codex,gpt-5-3-codex-or-pin-openai,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,7685.0,cell_prefix,openai/gpt-5.3-codex,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-3-codex-or-pin-openai
gpt-5-3,gpt-5-3,gpt-5-3-direct,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,6165.9,cell_prefix,gpt-5.3-chat-latest,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-3-direct
gpt-5-3,gpt-5-3,gpt-5-3-direct-r2,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,5824.4,cell_prefix,gpt-5.3-chat-latest,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-3-direct-r2
gpt-5-3,gpt-5-3,gpt-5-3-direct-r3,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,5947.8,cell_prefix,gpt-5.3-chat-latest,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-3-direct-r3
gpt-5-3,gpt-5-3,gpt-5-3-or-pin-openai,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,6342.6,cell_prefix,openai/gpt-5.3-chat,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-3-or-pin-openai
gpt-5-4,gpt-5-4,gpt-5-4-direct-16k,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,8252.3,cell_prefix,gpt-5.4,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-4-direct-16k
gpt-5-4,gpt-5-4,gpt-5-4-or,25,LONG:5;MID:5;OPEN:5;SHORT:5;VARY:5,8169.2,cell_prefix,openai/gpt-5.4,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-4-or
gpt-5-4,gpt-5-4,gpt-5-4-or-pin-openai,125,LONG:25;MID:25;OPEN:25;SHORT:25;VARY:25,7846.1,cell_prefix,openai/gpt-5.4,/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_gpt-5-4-or-pin-openai
