pid	model	cell	condition	provider	sample_id	word_count	source_json	output_file
BV1_31270	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_4.json	999	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_4.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_4.md
BV1_31271	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_5.json	1004	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_5.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_5.md
BV1_31272	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_6.json	990	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_6.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_6.md
BV1_31273	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_7.json	1009	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_7.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_7.md
BV1_31274	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_8.json	1000	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_8.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_8.md
BV1_31275	stealth/union-alpha	union-alpha-or-pin-stealth	MID	openrouter	union-alpha-or-pin-stealth/MID_9.json	1039	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/MID_9.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/MID_9.md
BV1_31276	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_1.json	331	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_1.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_1.md
BV1_31277	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_10.json	246	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_10.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_10.md
BV1_31278	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_11.json	358	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_11.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_11.md
BV1_31279	stealth/union-alpha	union-alpha-or-pin-stealth	OPEN	openrouter	union-alpha-or-pin-stealth/OPEN_12.json	330	/Users/danieltenner/dev/research/model-personality-corpus-v2/data/traces_freeflow/freeflow_union-alpha-or-pin-stealth/OPEN_12.json	/Users/danieltenner/dev/research/model-personality-analysis-corpus/analysis/freeflow/personality-eval-bv1/outputs/union-alpha-or-pin-stealth/OPEN_12.md
